district,date,N,P,K,pH,OC,EC,Zn,Fe,Cu,Mn,Soil_Moisture,Water_pH,Water_EC,TDS,Salinity,Hardness,Temperature,Rainfall,Humidity,Wind_Speed,Solar_Radiation,Crop,Soil_Type,Will_Grow,season
Chatra,2042-02-27,253,27,278,6.33,0.84,1.28,2.36,11.48,3.11,3.98,30.96,7.56,1.72,412.8,1.27,121.1,18.6,151.7,51.6,6.4,201.6,Vegetables,Loamy,0,Rabi
Simdega,2042-02-28,123,13,117,6.51,1.1,0.22,4.25,11.36,0.79,3.42,37.76,8.08,2.75,443.1,1.86,116.2,32.3,179.5,37.2,8.2,180.8,Maize,Loamy,0,Rabi
Chatra,2042-03-01,375,51,93,6.9,0.27,0.82,1.22,18.75,1.09,14.17,22.57,6.33,0.63,175.1,1.41,274.4,31.5,189.5,77.7,3.3,185.5,Vegetables,Sandy,0,Zaid
Sahebganj,2042-03-02,382,56,361,5.21,1.09,1.46,2.46,17.87,0.94,5.46,21.18,7.54,1.64,264.7,0.99,377,31.5,83.5,80.7,12.1,122.2,Pulses,Sandy,0,Zaid
Garhwa,2042-03-03,324,24,95,6.59,1.22,1.84,4.08,11.88,1.1,4.63,23.49,6.71,2.85,464.7,1.66,292.6,14.9,154.9,43.9,5.3,63.4,Wheat,Sandy,0,Zaid
Ranchi,2042-03-04,250,37,532,6.99,2.19,1.21,3.55,19.78,2.61,5.63,34.94,5.7,2.29,448.4,0.33,292.2,31.2,66.7,78.9,1.4,226.9,Rice,Loamy,1,Zaid
Dhanbad,2042-03-05,56,46,279,6.26,2.2,1.51,3.73,4.21,4.51,11.75,32.16,6.11,1.95,395,1.71,262.7,35,37.3,86.2,13.9,67.4,Millets,Loamy,0,Zaid
Gumla,2042-03-06,185,48,461,4.64,0.64,0.31,2.38,12.87,2.61,11.51,15.88,8.39,2.41,280.4,1.12,290.9,25.5,147.6,89.1,14.2,167.3,Vegetables,Red Lateritic,0,Zaid
Chatra,2042-03-07,279,57,478,5.38,1.15,1.97,1.29,12.9,3.67,9.86,11.27,6.79,0.65,359.2,0.79,63.9,36.1,13.7,31.6,11.7,222.6,Wheat,Sandy,0,Zaid
East Singhbhum,2042-03-08,211,58,526,8.42,1.09,0.21,1.39,16.54,0.47,12.07,31.41,6.47,2.39,64.4,0.02,135.6,10.3,36.4,45.1,3.9,174,Wheat,Black,0,Zaid
East Singhbhum,2042-03-09,130,8,301,7.4,1.29,1.2,2.86,3.82,4.59,14.09,22.93,6.92,2.25,324.2,0.99,153,16.7,48.2,75.6,2.8,116.4,Pulses,Sandy,0,Zaid
Garhwa,2042-03-10,222,32,423,5.43,2.05,0.47,1.94,5.53,0.13,17.35,18.33,7.88,0.64,488,0.78,320.3,35.5,193.8,65.5,3.6,242.1,Pulses,Sandy,0,Zaid
Dumka,2042-03-11,241,48,161,6.82,1.96,1.72,3.43,18.01,2.47,5.29,32.63,6.6,0.18,216.6,0.2,368.6,10.2,151.2,51,11.4,81,Pulses,Loamy,0,Zaid
Saraikela Kharsawan,2042-03-12,309,43,274,5.8,0.3,0.75,2.62,14.05,4.32,3.86,22.29,7.97,0.48,91.6,1.75,312.2,36.9,28.9,55.2,12.9,105.1,Rice,Red Lateritic,0,Zaid
Garhwa,2042-03-13,157,34,116,6.77,2.41,1.19,3.12,2.4,4.47,5.01,10.99,6.38,0.6,204.7,2.41,269.7,14.1,119.5,54.4,4.9,167.6,Rice,Sandy,0,Zaid
Jamtara,2042-03-14,271,5,476,4.92,1.22,0.72,2.59,9.62,3.92,3.78,19.53,7.3,1.61,341.3,2.19,240.1,34.6,61.1,40.3,8.5,124.3,Rice,Sandy,0,Zaid
Palamu,2042-03-15,388,28,416,8.44,2.21,0.8,2.72,18.92,1.97,2.9,36.67,7.37,1.66,234.3,1.67,389.7,11.5,30.3,48.5,2.8,157.7,Pulses,Alluvial,0,Zaid
Chatra,2042-03-16,83,53,313,7.84,0.69,1.58,3.18,5.45,0.46,15.79,32.77,7.44,2.5,483.5,0.28,315.1,13.8,57.2,58.6,9.8,211.3,Pulses,Alluvial,0,Zaid
Palamu,2042-03-17,373,48,572,6.84,1.61,0.45,4.1,5.3,4.99,4.54,17.26,7.64,1.28,293.2,0.18,140.3,19.1,171.4,93.1,10.1,123,Maize,Black,0,Zaid
Pakur,2042-03-18,133,56,255,5.83,0.4,1.1,1.66,2.07,3.92,4.32,13.32,7,0.11,164.8,0.73,76.3,27.9,48,29,9.5,129,Rice,Red Lateritic,0,Zaid
Palamu,2042-03-19,274,37,78,8.09,2.39,0.23,4.24,17.36,1.16,8.62,30.08,7.71,1.83,223.1,0.93,203.1,27.3,198.7,41.5,3.8,166,Millets,Alluvial,0,Zaid
Simdega,2042-03-20,298,60,105,7.41,1.56,0.67,4.86,6.09,4.42,15.77,25.65,7.31,1.24,354.8,0.21,113.8,25.7,32.3,35.3,13.8,142.6,Wheat,Sandy,0,Zaid
Sahebganj,2042-03-21,377,41,447,7.53,2.3,0.96,0.45,1.53,0.23,17.56,29.28,7.91,0.43,350.7,1.44,202.7,31.2,28.7,75.3,1.7,159.9,Maize,Alluvial,0,Zaid
Garhwa,2042-03-22,215,25,105,7.89,2.29,1.23,2.83,15.79,4.26,16.07,25.33,8.48,1.93,372.5,1.7,315.8,30.1,15.2,47.5,11.5,92.6,Millets,Alluvial,0,Zaid
Dhanbad,2042-03-23,246,55,365,4.82,1.49,1.54,2.55,3.89,1.23,14.75,31.42,6.86,1.58,441.8,1.53,92.3,23.9,37.7,89.8,9.1,240.5,Millets,Sandy,0,Zaid
Bokaro,2042-03-24,384,40,401,6.31,0.34,0.73,3.45,5.64,3.38,10.29,29.39,6.95,1.36,317.6,1.05,103.4,24.4,8.4,39.3,3.2,233.7,Maize,Sandy,0,Zaid
Deoghar,2042-03-25,374,48,362,6.88,2.13,0.31,3.83,19.74,1.01,12.84,26.38,7.15,1.32,390.8,1.88,170.4,28.4,100.9,83.4,1,212.4,Rice,Sandy,0,Zaid
West Singhbhum,2042-03-26,274,11,55,5.79,1.37,0.24,2.51,7.46,0.83,18.09,27.45,5.98,1.59,318.4,2.29,269.3,37.1,191.5,27.4,12.1,155.9,Wheat,Sandy,0,Zaid
Gumla,2042-03-27,256,13,564,4.81,0.4,1.14,2.02,15.65,4.66,2.35,31.67,6.08,2.81,466.7,1.29,201.5,24.2,24.8,35,10.5,115.5,Wheat,Red Lateritic,0,Zaid
Bokaro,2042-03-28,361,55,302,4.73,2.45,1.43,4.02,13.35,4.14,5.39,11.82,6.86,0.22,249,1.95,118.4,11.3,35.7,65.9,0,197.8,Wheat,Sandy,0,Zaid
Jamtara,2042-03-29,147,5,54,6.48,1.84,1.69,2.15,5.36,4.35,2.57,33.18,5.83,1.84,206,2.39,161.7,11.9,162.7,26.6,4.5,179.5,Vegetables,Loamy,0,Zaid
Saraikela Kharsawan,2042-03-30,359,21,126,6.3,0.86,0.18,2.14,4.04,0.19,7.16,24.25,6.48,1.96,450.8,0.4,251.2,21.9,109.4,36.4,7.3,82.8,Wheat,Sandy,0,Zaid
Gumla,2042-03-31,145,5,383,7.77,1.12,1.39,1.61,11.3,3.14,10.16,10.46,6.14,0.26,70.4,2.04,328,33.2,84.1,23.9,4.5,220.3,Pulses,Alluvial,0,Zaid
Latehar,2042-04-01,107,19,109,5.49,0.93,1.55,0.78,13.84,1.31,6.36,12.21,7.09,2.07,362.2,0.11,184.2,18.2,167.4,42.2,2.6,127.9,Millets,Red Lateritic,0,Zaid
East Singhbhum,2042-04-02,164,21,549,5.13,0.22,0.54,3.78,2.6,4.71,17.42,27.97,8.03,1.25,241.7,0.91,297.1,15.1,4.5,23.6,9.2,78.9,Millets,Red Lateritic,0,Zaid
Lohardaga,2042-04-03,392,8,332,4.93,0.75,0.18,1.44,12.5,1.86,1.53,29.4,5.76,1.58,478.7,1.08,301.2,10.6,71.2,22.6,5.7,215.7,Maize,Red Lateritic,0,Zaid
Pakur,2042-04-04,286,30,304,7.8,2.43,1.53,0.36,19.27,2.78,5.17,24.34,7.85,0.21,401.4,1.34,370,18.7,40.5,97.1,3,169.7,Pulses,Alluvial,0,Zaid
Simdega,2042-04-05,232,16,67,7.58,2.28,1.41,1,15.02,3.16,7.92,22.24,8.18,0.97,299.6,0.11,394.4,12.6,178.4,37.3,3.3,118.1,Rice,Alluvial,0,Zaid
Hazaribagh,2042-04-06,345,48,549,6.85,0.24,1.92,0.15,11.45,4.22,3.59,20.44,7.31,2.84,356.4,1.8,238.3,38.6,91.4,43.8,4.7,93,Maize,Black,0,Zaid
Deoghar,2042-04-07,52,55,537,6.78,0.6,0.67,3.69,2.57,4.74,2.34,29.27,7.56,2.32,161.9,0.02,213.6,21.6,43.8,93.1,10.7,202.8,Rice,Black,0,Zaid
Godda,2042-04-08,312,35,538,7.39,0.53,1.39,2.27,13.08,4.56,5.59,14.3,7.33,0.12,434.4,2.11,211.7,28.1,177.5,54.4,2.1,107.2,Rice,Black,0,Zaid
Lohardaga,2042-04-09,178,50,212,7.6,1.73,1.66,2.54,10.44,3.02,18.35,22.9,7.6,0.38,371.8,2.42,118.8,22.9,176.4,51.9,0.4,64.8,Vegetables,Alluvial,0,Zaid
Pakur,2042-04-10,222,28,98,7.31,0.79,1.32,0.6,5.86,1.87,19.53,20.41,8.18,0.35,145.1,1.29,179.1,20.9,17.5,24.7,8.6,185,Maize,Sandy,0,Zaid
Saraikela Kharsawan,2042-04-11,308,6,469,7.74,0.31,0.82,3.79,5.65,3.81,16.65,39.3,6.14,0.62,208.1,0.98,191.9,32.6,115.9,83.5,11,68,Wheat,Alluvial,0,Zaid
Jamtara,2042-04-12,70,38,73,6.05,0.73,0.68,3.86,18.43,3.77,15.61,17.52,6.41,0.86,76,1.09,77.5,24.1,120.8,61.4,4.5,162.3,Rice,Sandy,0,Zaid
Saraikela Kharsawan,2042-04-13,133,44,406,7.18,0.99,1.3,2.06,14.44,0.68,8.25,20.29,7.9,0.42,238.5,0.25,183.6,29.1,69.3,65.8,7.4,104.5,Vegetables,Sandy,0,Zaid
Giridih,2042-04-14,276,55,342,5.54,1.5,0.55,2.22,18.04,3.34,3.18,26.87,6.67,0.33,55.1,0.64,55.9,19.9,80.3,42.7,4.4,182.5,Vegetables,Sandy,0,Zaid
Saraikela Kharsawan,2042-04-15,220,54,533,4.75,1.09,0.51,4.19,8.18,2.63,5.55,15.3,6.16,1.65,292.6,0.15,100.5,25.3,64.3,89.2,2.8,108.9,Pulses,Black,0,Zaid
East Singhbhum,2042-04-16,166,6,238,5.51,0.83,0.54,2.49,12.05,0.92,16.29,16.45,7.43,1.99,286.5,2.25,169.1,39.5,162.8,94.4,10.2,173.5,Vegetables,Red Lateritic,0,Zaid
Ranchi,2042-04-17,147,6,316,6.03,2.11,0.53,4.83,8.58,0.11,1.5,22.18,5.82,0.78,201,1.89,348.9,26.1,55.9,88.6,4.6,93.4,Rice,Sandy,0,Zaid
Saraikela Kharsawan,2042-04-18,299,49,578,6.56,0.39,0.61,3.37,18.36,3.7,3.39,18.13,6.52,2.99,289.3,2.01,399.3,26.3,88.7,88.2,14.3,208.9,Rice,Black,0,Zaid
Jamtara,2042-04-19,382,49,159,6.3,1.64,1.4,2.43,6.24,1.67,8.51,31.53,7.47,2.96,265.5,1.78,249.7,13.3,31,61.1,12.1,166.9,Rice,Loamy,0,Zaid
Hazaribagh,2042-04-20,197,10,83,4.98,0.89,0.44,4.16,19.2,3.57,9.97,33.44,5.7,1.49,270.2,0.68,317.8,25.5,45.2,89.2,3.7,71.1,Maize,Red Lateritic,0,Zaid
West Singhbhum,2042-04-21,348,60,422,6.12,1.28,1.13,2.65,8.79,1.98,8.66,37.41,7.28,2.45,106.6,0.82,351.3,32.4,197.7,86.8,5.4,105,Vegetables,Loamy,0,Zaid
Chatra,2042-04-22,303,52,74,6.76,0.32,1.82,3.26,5.04,2.68,7.93,34.75,6.45,0.37,384.7,1.22,382.2,30.9,187.2,72.3,9.8,138.1,Millets,Loamy,0,Zaid
Bokaro,2042-04-23,200,27,592,5.94,2.43,1.3,0.42,8.54,3.32,1.69,22.66,8.09,1.76,272.7,1.95,173.4,23.8,113.2,22.7,7.4,247.6,Millets,Black,1,Zaid
Dumka,2042-04-24,69,16,103,6.76,1.5,1.72,4.78,14.52,1.29,9.63,27.54,6.68,1.98,455.1,0.28,375.3,24.6,91.1,71.2,12.4,208.7,Pulses,Sandy,0,Zaid
Deoghar,2042-04-25,99,56,331,6.59,1.47,1.15,4.52,18.22,2.57,17.52,26.06,5.62,2,184.9,2.03,308.2,35.6,159,69.5,0.6,218.2,Maize,Sandy,0,Zaid
Chatra,2042-04-26,143,33,160,8.44,1.92,0.89,2.05,18.45,3.88,16.67,35.19,6.15,0.78,301.3,0.09,90,29.4,136.8,62.1,5.4,95.6,Vegetables,Alluvial,0,Zaid
Lohardaga,2042-04-27,115,11,402,5.77,1.34,0.95,4.31,1.11,0.71,17.38,38.36,6.61,0.13,434.9,0.47,355.2,19.4,145.5,98.5,9.2,57.5,Vegetables,Sandy,0,Zaid
Ranchi,2042-04-28,376,20,542,7.26,1.68,0.34,1.06,5.73,2.29,13.95,37.3,7.37,1.15,345.9,2.41,119.9,37.2,18,93.3,13,91.6,Vegetables,Black,0,Zaid
Sahebganj,2042-04-29,383,20,82,4.57,2.22,1.26,0.77,17.88,0.8,6.56,32.85,7.46,2.5,345,0.77,111.2,38.2,172,27.8,1.5,178.6,Wheat,Sandy,0,Zaid
Chatra,2042-04-30,233,44,237,6.93,1.82,1.93,4.89,4.39,2.51,5.7,34.84,6.52,2.62,401,0.28,177.6,17.8,91.5,97.4,13,125.5,Maize,Loamy,1,Zaid
Latehar,2042-05-01,397,41,230,7.71,2.46,0.88,3.38,18.4,3.6,17.76,17.33,6.91,0.64,203.9,2.5,50.6,28.6,161.8,82.5,13.7,91.1,Vegetables,Alluvial,0,Zaid
Giridih,2042-05-02,214,42,321,7.3,1.92,1.68,1.1,5.07,1.34,19.41,26.24,7.42,1.06,433.1,1.29,325.2,13.6,159.6,97.2,13.7,234.7,Vegetables,Sandy,0,Zaid
East Singhbhum,2042-05-03,71,30,462,4.56,0.51,0.76,3.92,5.54,4.58,11.32,15.28,7.7,2.49,90.5,0.02,298.6,17.5,115,76.2,12.2,165.3,Wheat,Red Lateritic,0,Zaid
Bokaro,2042-05-04,362,48,559,6.96,2.45,0.25,0.54,18.31,3.08,13.47,38.38,8.44,0.67,298.8,2.26,332,31.9,162.7,72.4,2.2,201,Millets,Loamy,0,Zaid
Sahebganj,2042-05-05,307,32,267,6.84,1.79,0.16,3.65,10.02,2.55,16.69,17.58,7.23,1.29,422,2.17,378,37.4,73.2,84.3,13.4,125.3,Vegetables,Sandy,0,Zaid
Sahebganj,2042-05-06,159,31,214,6.42,2.21,1.82,3.12,8.31,2.28,19.7,27.2,7.65,0.65,380.1,1.65,184.2,26.6,52.3,29.6,2.9,199.9,Maize,Sandy,0,Zaid
Simdega,2042-05-07,51,36,360,6.09,0.79,1.84,4.7,15.25,2.23,10.51,37.23,7.76,2.91,246.7,1.44,306.6,38.6,5.9,67.1,3.9,98.9,Millets,Loamy,0,Zaid
Latehar,2042-05-08,290,31,289,8.43,1.07,0.65,3.52,14.09,4.82,16.31,38.93,8.45,0.49,326.3,1.72,302.8,37,18.5,47.2,9,93.3,Vegetables,Alluvial,0,Zaid
Giridih,2042-05-09,285,53,471,7.86,0.4,1.31,0.87,16.24,4.08,16.02,28.88,5.82,1.38,332.3,0.19,112.6,13.2,141.7,25.7,6.3,91.7,Millets,Alluvial,0,Zaid
Chatra,2042-05-10,56,14,410,5.82,1.77,1.48,1.24,1.65,2.4,7.82,19.78,5.55,1.32,153.8,0.84,284.1,24.9,184.1,22.8,6.1,57.3,Vegetables,Sandy,0,Zaid
Dumka,2042-05-11,66,32,318,4.56,2.21,1.16,0.69,18.21,1.23,3.74,27.98,6.45,2.9,212.3,1.86,359.2,26,163.9,21.9,14.6,191.2,Maize,Sandy,0,Zaid
Ramgarh,2042-05-12,293,45,391,8.19,1.36,0.29,0.5,9.72,1.03,12.48,39.03,6.44,0.19,239.6,1.52,246.1,16.3,94.9,84.6,9.4,180.4,Rice,Alluvial,0,Zaid
Saraikela Kharsawan,2042-05-13,287,25,103,6.42,1.68,1.84,4.14,1.41,2.42,18.82,22.24,6.11,2.57,374.2,0.69,395.7,36.4,66.7,25.7,12.8,237.7,Maize,Sandy,0,Zaid
Dumka,2042-05-14,336,54,171,8,0.21,1.43,2.06,18.06,0.21,3,13.31,6.68,1.71,261.1,2.26,355.3,29.6,116.8,63.4,3.9,133.6,Rice,Alluvial,0,Zaid
Khunti,2042-05-15,293,58,115,5.3,0.71,1.01,2.96,3.18,4.2,6.16,31.88,5.89,0.35,309.6,1.88,386.8,30.4,85.1,61,8.5,221.6,Wheat,Red Lateritic,0,Zaid
Dhanbad,2042-05-16,66,56,403,5.82,1.85,1.83,1.62,19.62,0.67,17.84,21.29,7.7,1.26,178.1,2.47,131.3,28.9,135.8,28.8,1,244.6,Pulses,Sandy,0,Zaid
Dhanbad,2042-05-17,315,29,250,7.94,1.36,0.22,0.58,4.32,2.86,17.49,29.92,6.45,0.95,210.8,1.09,263.8,25.4,22.4,73.7,9.3,187.5,Millets,Alluvial,0,Zaid
Koderma,2042-05-18,224,56,268,7.95,1.64,1.68,0.32,4.92,2.85,4.69,28.73,6.02,2.5,365.3,0.68,399,21.3,151.2,23.2,13.3,154.2,Rice,Alluvial,0,Zaid
Koderma,2042-05-19,243,47,513,7.92,1.9,1.25,4.09,19.77,3.15,12.14,25.68,8.01,2.81,214.3,2.08,161.8,33.8,111.7,58.6,14,219.8,Pulses,Black,1,Zaid
East Singhbhum,2042-05-20,311,36,503,4.9,1.44,0.64,1.26,17.9,0.86,19.62,34.35,8.23,1.98,239.6,1.74,110.2,29.3,196,56.9,0.3,73.4,Wheat,Black,0,Zaid
Lohardaga,2042-05-21,93,29,581,8.36,0.42,0.92,1.23,2.76,2.99,12.1,11.87,6.71,1.85,450.5,0.92,251.1,14.3,82,68.3,0.5,90.2,Rice,Black,0,Zaid
East Singhbhum,2042-05-22,380,55,79,6.16,2.48,1.89,1.01,10.5,1.86,10.74,11.65,8.08,2.84,404.1,1.42,237.2,12.6,160.5,54.6,9.7,65.2,Pulses,Sandy,0,Zaid
Godda,2042-05-23,314,11,566,8.44,2.05,1.31,2.37,11.27,1.3,10.76,15.67,7.69,1.55,350.5,1.75,176.8,15,37.1,88.3,6.4,64.7,Rice,Black,0,Zaid
Simdega,2042-05-24,150,10,120,7.76,0.84,0.85,1.63,6.4,4.33,5.62,23.36,6.79,2.9,266.8,1.16,220.1,16.5,166.4,82.5,9.6,159.4,Rice,Alluvial,0,Zaid
Pakur,2042-05-25,155,44,112,8.42,0.92,1.48,4.15,12.85,1.97,1.03,15.3,6.28,2.96,420,1.95,202.8,23.2,179.1,78.6,5.6,229.6,Wheat,Alluvial,0,Zaid
West Singhbhum,2042-05-26,303,20,69,6.44,1.8,1.75,3.74,17.09,4.33,15.86,17.7,6.9,1.54,283.2,1.57,229.3,18.7,42.1,34.9,8.3,137.9,Pulses,Sandy,0,Zaid
Dumka,2042-05-27,227,33,143,4.67,1.41,1.81,0.89,7.65,4.89,16.5,23.58,6.34,2.1,496.7,1.32,70.6,22.9,51.7,58.7,8.7,159.4,Rice,Sandy,0,Zaid
Godda,2042-05-28,244,32,190,5.42,2.17,1.61,2.94,2.24,4.71,14.31,20.04,5.97,2.12,405.8,1.72,152.5,13.7,71.8,96.4,2.3,146.5,Rice,Sandy,0,Zaid
Dumka,2042-05-29,160,43,330,7.47,2.17,1.22,3.89,7.18,2.41,2.29,17.81,6.81,1.8,56,1.86,286.9,17.7,8.1,89.5,0.8,193.3,Pulses,Sandy,0,Zaid
Garhwa,2042-05-30,236,31,586,6.65,1.25,0.13,3.97,3.77,3.25,10.45,18.26,7.9,0.76,75.7,1.01,230.2,31.1,91.4,52.5,7.7,82.8,Pulses,Black,0,Zaid
Simdega,2042-05-31,88,19,552,5.89,0.79,1.39,0.89,6.96,2.93,19.17,14,5.93,0.4,210.4,0.99,213.2,26.1,88,40.5,2.3,156.7,Pulses,Red Lateritic,0,Zaid
Saraikela Kharsawan,2042-06-01,388,24,60,8.49,1.44,0.5,3.74,18.97,1.41,14.24,21.99,6.32,1.06,83.2,2.36,127,38.2,28.8,48,10.4,106.2,Maize,Alluvial,0,Kharif
Sahebganj,2042-06-02,52,23,246,7.35,1.38,0.96,0.75,7.4,0.5,5.38,17.59,6.22,2.38,322.9,0.81,305.1,12.1,78.2,80.5,3.7,66.6,Rice,Sandy,0,Kharif
Pakur,2042-06-03,379,45,124,5.71,2.21,1.47,0.63,17.4,4.1,17.28,26.39,8.16,0.55,318.9,0.15,392.3,14.9,98.9,56.8,5.7,162.2,Pulses,Sandy,0,Kharif
Koderma,2042-06-04,387,14,58,7.82,0.98,1.41,1.7,10.49,1.97,12.5,32.95,6.24,2.73,285.5,0.42,282.7,20,58.1,41.8,3.4,174.8,Maize,Alluvial,0,Kharif
Sahebganj,2042-06-05,161,53,201,5.71,0.21,0.57,1.62,8.26,2.2,4.37,39.36,7.48,0.84,316.7,2.01,90.7,12.4,116.2,59.2,7.6,235,Maize,Red Lateritic,0,Kharif
Sahebganj,2042-06-06,155,17,398,5.77,1.83,1.95,2.36,12.92,1.76,12.06,23.83,7.12,2.44,381.4,1.25,356.1,24.7,48.8,79,11.4,204.8,Millets,Sandy,0,Kharif
Jamtara,2042-06-07,198,35,292,6.72,0.63,1.54,0.6,4.81,4.73,2.97,23.18,7.49,2.67,107,0.46,142.3,26.8,183.9,70.4,13.8,150.6,Wheat,Sandy,0,Kharif
Deoghar,2042-06-08,299,32,157,7.36,0.61,0.52,0.97,1.6,0.67,11.4,32.69,7.21,2.99,175.2,1.63,335.5,17.6,93.8,32.2,6.9,146.8,Millets,Sandy,0,Kharif
Lohardaga,2042-06-09,269,49,538,7.98,1.46,1.87,2.18,1.04,2.74,1.39,25.44,6.73,2.09,401.8,1.63,343.8,15.9,178.7,30.4,1.7,172.8,Vegetables,Black,0,Kharif
Lohardaga,2042-06-10,312,35,366,7.22,1.82,0.48,0.13,19.51,2.39,2.52,12.47,8.15,1.7,391,0.21,79.2,38.7,84.1,22.9,1.9,244,Maize,Sandy,0,Kharif
Ranchi,2042-06-11,122,57,199,6.19,1.18,1.84,2.41,4.63,1.6,11.54,10.71,7.81,2.47,424.9,2.07,372.6,30.4,117.6,57.7,0.2,161.4,Maize,Sandy,0,Kharif
Garhwa,2042-06-12,279,16,387,5.33,2.14,1.41,4.17,2,0.51,4.75,25.56,6.98,0.2,389.6,0.46,206,21.8,130.2,30.6,13.5,245.1,Rice,Sandy,0,Kharif
Simdega,2042-06-13,266,16,482,8.24,1.66,0.53,2.11,16.63,0.88,12.13,27.35,7.42,2.97,71.1,1.03,77.6,10.4,171.7,69,6.3,215.5,Millets,Alluvial,0,Kharif
Gumla,2042-06-14,302,59,564,5.01,0.4,0.92,4.19,7.94,3.49,17.2,20.23,8.01,2.56,283.7,1.96,152.7,35.2,185.1,56.2,13,114.5,Vegetables,Red Lateritic,0,Kharif
Koderma,2042-06-15,279,20,159,4.84,0.83,0.62,4.04,16.34,2.23,13.5,27.21,7.28,0.8,271.6,2.43,193.4,36.7,155.5,22.8,5.6,177.4,Vegetables,Red Lateritic,0,Kharif
West Singhbhum,2042-06-16,76,32,517,8.14,0.56,0.99,2.38,18.91,4.5,15.63,36.87,7.76,0.55,224.4,0.84,64.5,35,105.1,54.2,6.1,203.9,Vegetables,Black,0,Kharif
Ramgarh,2042-06-17,348,42,469,5.73,0.36,0.27,1.99,14.4,4.23,5.59,15,7.92,0.66,461,1.27,262.5,37,108.3,45.5,14.5,155.6,Vegetables,Red Lateritic,0,Kharif
Hazaribagh,2042-06-18,138,57,304,4.77,1.03,1.76,1.86,10.05,4.28,17,12.62,7.31,2.79,133.4,1.8,165,10.5,144.6,47.7,11.9,150.6,Rice,Sandy,0,Kharif
Jamtara,2042-06-19,339,59,157,7.86,2.45,0.69,4.52,10.7,0.28,3.12,34.43,8.36,0.79,99.1,2.18,318.8,31.3,82.8,57.1,10.9,146.4,Millets,Alluvial,0,Kharif
Giridih,2042-06-20,397,26,600,5.56,1.43,0.17,0.81,3.07,2.92,3.04,33.42,5.86,2.66,153.5,0.69,332,30.6,159.4,99.2,8.6,118,Pulses,Black,0,Kharif
Lohardaga,2042-06-21,389,5,150,5.77,0.38,1.05,1.79,3.91,4.39,5.14,10.16,7.5,2.78,205,0.85,294.7,33.3,11.1,74.3,2.1,226.4,Rice,Red Lateritic,0,Kharif
Ramgarh,2042-06-22,250,5,490,7.38,1.15,1.89,1.84,19.03,2.87,12.16,29.71,5.9,0.17,380.3,1.2,260.1,18.7,193,72.4,4.9,138.6,Rice,Sandy,0,Kharif
Saraikela Kharsawan,2042-06-23,171,50,362,4.52,0.36,1.97,4.21,9.15,4.49,6.48,32.96,7.96,2.75,406.3,1.95,256.2,11.8,187.9,73.3,2,88.7,Millets,Red Lateritic,0,Kharif
Khunti,2042-06-24,199,33,577,4.71,1.04,1.11,3.26,19.07,2.97,13.87,34.79,7.8,0.49,250.1,0.65,285.1,28.4,147.9,92.2,5.1,140.2,Vegetables,Black,1,Kharif
Jamtara,2042-06-25,147,34,514,4.65,1.28,1.91,4.38,1.26,2.04,8.15,38.1,7.47,0.97,208.8,1.5,393.8,29.5,148.5,85,1.1,218.7,Rice,Black,0,Kharif
West Singhbhum,2042-06-26,119,12,370,5.9,2.17,0.7,4.9,3.89,3.37,16.49,20.97,5.89,1.68,217.2,0.41,335.9,34.8,48.4,52.3,5.9,211.1,Maize,Sandy,0,Kharif
Hazaribagh,2042-06-27,245,58,481,6.81,0.32,1.61,3.07,16.11,3.95,19.08,33.51,8.28,2.71,381.8,2.3,118.2,35.4,157,63.8,7.2,174.4,Wheat,Loamy,0,Kharif
Ramgarh,2042-06-28,234,47,229,4.51,0.28,1.03,3.24,3.87,2.52,9.33,22.96,5.53,2.57,411.5,1.22,182.2,28.2,198.8,64.6,6.3,186.4,Wheat,Red Lateritic,0,Kharif
Bokaro,2042-06-29,106,59,233,8.14,2.49,1.25,0.8,1.29,3.76,18.63,19.23,5.68,0.38,343.7,0.85,265,32,166.7,56.6,9.7,184.1,Millets,Alluvial,0,Kharif
Dumka,2042-06-30,268,47,373,6.85,2.14,1.18,4.56,10.29,2.01,5.23,14.22,7.01,0.17,468.1,0.32,90,38.4,90.1,80.3,5.6,236.9,Vegetables,Sandy,0,Kharif
Bokaro,2042-07-01,186,45,338,6.9,1.66,0.84,2.96,1.86,3.14,13.52,16.9,8.02,0.8,493.9,1.01,275.4,37.4,58.3,22.9,6,246.9,Pulses,Sandy,0,Kharif
Gumla,2042-07-02,395,5,383,5.02,0.59,0.16,4.27,2.7,1.38,1.62,16.91,5.81,1.27,265,2.42,128.9,14.6,44.3,58.9,12.9,97.2,Vegetables,Red Lateritic,0,Kharif
Pakur,2042-07-03,172,46,268,6.04,0.98,0.41,4.59,10.93,1.16,4.49,25.19,6.46,1.58,434.6,0.08,328.5,34.6,129.6,58.8,7.6,57.2,Millets,Sandy,0,Kharif
Lohardaga,2042-07-04,259,40,91,6.77,0.97,0.56,3.55,16.27,3.62,2.95,14.12,7.24,0.88,58.5,1.94,395.3,36,65.8,75.3,13.2,237.5,Wheat,Sandy,0,Kharif
Ranchi,2042-07-05,341,20,337,8.33,1.2,0.98,1.41,10.29,4.51,14.29,28.86,5.75,1.94,274,0.71,176.2,12.6,40.8,93.3,13.5,157.5,Millets,Alluvial,0,Kharif
